Heure,Temperature,Humidite,Pression,Vent,Rafales,Solaire,UV,Pluie,Direction
2026-07-26 11:27:54,21.2,52.2,1015.0,8.8,12.3,77.1,1.8,2.5,193.5
2026-07-26 11:28:24,21.5,49.7,1015.2,10.3,14.4,81.1,1.9,0.0,208.5
2026-07-26 11:28:54,22.5,52.9,1017.7,8.7,12.2,77.3,1.9,0.0,197.9
2026-07-26 11:29:24,22.5,52.9,1017.7,8.6,12.0,73.9,1.9,0.0,195.7
2026-07-26 11:29:54,22.4,52.6,1017.7,8.1,11.3,82.2,1.8,0.5,178.5
2026-07-26 11:30:24,22.5,52.6,1017.7,10.8,15.1,74.4,1.7,0.0,161.6
2026-07-26 11:30:54,22.3,52.8,1017.7,8.8,12.3,75.2,1.9,0.0,146.4
2026-07-26 11:31:24,22.2,53.2,1017.7,8.4,11.8,80.6,1.8,0.0,125.8
2026-07-26 11:31:54,22.1,52.9,1017.8,10.8,15.1,82.2,1.9,0.0,130.3
2026-07-26 11:32:24,22.3,52.5,1017.8,9.3,13.0,78.1,1.9,0.0,107.1
2026-07-26 11:32:54,22.4,52.5,1017.8,10.8,15.1,79.6,1.9,2.7,104.0
2026-07-26 11:33:24,22.3,52.8,1017.8,10.6,14.8,73.8,1.8,2.8,83.5
2026-07-26 11:33:54,22.4,52.6,1017.8,10.4,14.6,79.8,1.9,1.4,96.5
2026-07-26 11:34:24,22.4,52.6,1017.8,9.3,13.0,77.9,1.9,0.0,84.2
2026-07-26 11:34:54,22.2,52.9,1017.8,10.5,14.7,79.6,1.8,0.0,102.8
2026-07-26 11:35:24,22.1,53.4,1017.9,9.6,13.4,81.3,1.9,0.6,94.7
2026-07-26 11:35:54,21.9,53.0,1017.9,10.2,14.3,76.6,1.9,0.0,98.7
2026-07-26 11:36:24,21.7,52.7,1017.8,8.5,11.9,79.1,1.9,2.0,89.4
2026-07-26 11:36:54,21.5,52.2,1017.8,8.3,11.6,78.8,1.8,0.0,81.5
2026-07-26 11:37:24,21.3,52.0,1017.8,9.4,13.2,74.6,1.9,0.0,101.1
2026-07-26 11:37:54,21.5,51.6,1017.9,10.2,14.3,79.5,1.8,3.9,109.3
2026-07-26 11:38:24,21.6,52.1,1018.0,9.5,13.3,76.9,1.8,0.0,117.2
2026-07-26 11:38:54,21.6,52.2,1018.0,8.7,12.2,75.2,1.8,0.0,92.4
2026-07-26 11:39:24,21.6,51.9,1018.1,10.3,14.4,74.1,1.8,0.8,88.2
2026-07-26 11:39:54,21.5,52.1,1018.0,9.9,13.9,79.2,1.8,1.4,108.8
2026-07-26 11:40:24,21.3,51.9,1018.1,9.3,13.0,76.6,1.8,0.9,130.9
2026-07-26 11:40:54,21.4,51.6,1018.1,10.0,14.0,79.3,1.9,3.0,128.5
2026-07-26 11:41:24,21.2,51.2,1018.1,8.9,12.5,80.2,1.9,3.8,114.9
2026-07-26 11:41:54,21.3,51.3,1018.1,9.4,13.2,76.3,1.9,0.5,105.9
2026-07-26 11:42:24,21.2,50.9,1018.1,10.9,15.3,75.0,1.9,0.0,104.7
2026-07-26 11:42:54,21.3,51.3,1018.1,8.9,12.5,75.4,1.9,0.0,122.3
2026-07-26 11:43:24,21.4,51.5,1018.1,10.7,15.0,77.7,1.8,1.8,124.7
2026-07-26 11:43:54,21.2,51.5,1018.0,8.1,11.3,76.5,1.9,1.6,115.9
2026-07-26 11:44:24,21.2,51.4,1017.9,10.9,15.3,78.4,1.8,0.0,107.7
2026-07-26 11:44:54,21.2,51.0,1017.9,9.4,13.2,84.1,1.9,0.0,83.9
2026-07-26 11:45:24,21.4,51.0,1017.9,8.3,11.6,81.5,1.9,0.0,75.3
2026-07-26 11:45:54,21.5,50.9,1017.9,8.3,11.6,77.5,1.9,0.8,51.8
2026-07-26 11:46:24,21.4,50.9,1017.9,9.9,13.9,76.6,1.9,0.0,49.1
2026-07-26 11:46:54,21.2,51.0,1017.8,8.6,12.0,77.9,1.9,0.0,26.3
2026-07-26 11:47:24,21.2,50.7,1017.9,10.1,14.1,74.7,2.0,0.0,17.5
2026-07-26 11:47:54,21.4,51.0,1018.0,10.3,14.4,82.1,1.9,2.0,354.3
2026-07-26 11:48:24,21.6,50.7,1018.0,8.1,11.3,81.3,1.9,0.0,338.1
2026-07-26 11:48:54,21.5,50.2,1018.1,8.7,12.2,76.4,1.9,0.0,321.5
2026-07-26 11:49:24,21.6,50.4,1018.2,10.7,15.0,84.3,2.0,0.0,325.6
2026-07-26 11:49:54,21.4,50.4,1018.3,9.0,12.6,81.1,1.9,2.7,331.1
2026-07-26 11:50:24,21.4,50.0,1018.2,10.7,15.0,84.1,1.9,0.7,341.9
2026-07-26 11:50:54,21.4,49.5,1018.1,9.0,12.6,80.7,1.9,0.5,327.1
2026-07-26 11:51:24,21.3,49.4,1018.1,10.3,14.4,76.0,2.0,3.1,348.0
2026-07-26 11:51:54,21.3,49.7,1018.1,10.7,15.0,84.3,1.8,0.0,341.7
2026-07-26 11:52:24,21.4,49.8,1018.0,8.3,11.6,84.3,1.8,0.7,331.7
2026-07-26 11:52:54,21.4,49.9,1018.0,8.7,12.2,75.6,1.8,0.0,332.3
2026-07-26 11:53:24,21.4,49.8,1018.1,10.4,14.6,80.4,1.9,0.0,310.0
2026-07-26 11:53:54,21.5,49.9,1018.2,10.9,15.3,79.9,1.8,0.0,323.9
2026-07-26 11:54:24,21.5,50.2,1018.1,11.0,15.4,82.5,1.9,0.0,342.3
2026-07-26 11:54:54,21.6,49.9,1018.0,10.3,14.4,82.6,1.8,3.8,344.9
2026-07-26 11:55:24,21.5,50.3,1017.9,8.8,12.3,80.3,1.8,2.5,347.2
2026-07-26 11:55:54,21.5,50.6,1017.8,10.9,15.3,81.7,2.0,0.9,354.9
2026-07-26 11:56:24,21.6,51.1,1017.8,9.8,13.7,76.7,1.8,0.0,350.3
2026-07-26 11:56:54,21.6,51.4,1017.8,9.2,12.9,75.5,2.0,0.0,345.7
2026-07-26 11:57:24,21.7,51.7,1017.9,10.6,14.8,76.0,1.8,0.0,7.0
2026-07-26 11:57:54,21.8,51.4,1017.9,8.0,11.2,81.9,2.0,0.0,342.8
